Feature,Importance
helios_czt_counts_roll_cv_300s,26.348835022954763
helios_czt_counts_roll_mean_300s,13.677421559144454
helios_czt_counts_roll_std_300s,12.513603797688033
hardness_ratio_czt_solexs_roll_mean_60s,12.314127758059158
solexs_counts_ema_300s,10.993359919464412
hardness_ratio_czt_solexs_roll_std_60s,9.138162624506663
hardness_ratio_czt_cdte_roll_std_60s,5.719914559547386
helios_counts_roll_cv_300s,2.345962085239415
helios_czt_counts_roll_var_300s,2.052647342266564
hardness_ratio_czt_cdte_roll_mean_60s,1.6953522614668237
helios_counts_roll_var_300s,1.6282737216935772
solexs_counts_roll_var_300s,1.0219264613820085
elapsed_observation_fraction,0.550412886586745
solexs_counts_lag_300s,0.0
solexs_counts_roll_range_60s,0.0
helios_czt_corr_300s,0.0
helios_czt_counts_dist_max_300s,0.0
helios_czt_counts_roll_kurt_300s,0.0
helios_czt_counts_z_score_300s,0.0
solexs_counts_ema_diff_60_300s,0.0
solexs_counts_roll_cv_30s,0.0
solexs_counts_roll_var_60s,0.0
helios_counts_roll_max_300s,0.0
helios_czt_counts_roll_cv_60s,0.0
helios_counts_roll_kurt_300s,0.0
helios_counts_z_score_300s,0.0
helios_counts_roll_kurt_60s,0.0
solexs_counts_roll_range_300s,0.0
solexs_counts_roll_cv_300s,0.0
hardness_ratio_roll_mean_60s,0.0
